category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO:0005654	70	4169	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000273857,9606.ENSP00000275015,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000292782,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000306999,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336752,9606.ENSP00000339527,9606.ENSP00000347409,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000354522,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000358464,9606.ENSP00000358799,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364589,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000375899,9606.ENSP00000376276,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000410603,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000451506,9606.ENSP00000457991,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000494373,9606.ENSP00000498653	ELL2,EGR1,EGR2,H4C6,SBDS,JUND,MDM2,BARD1,KLF3,SPECC1,TCF3,DGCR8,BIRC3,ATF2,POLQ,PATZ1,CDK2,PML,NCOR1,CORIN,NFKBIE,AIP,ARID5B,JAZF1,DCUN1D1,WRN,FEN1,ESCO2,RPTOR,RMI2,SUZ12,EZH2,STK11,H3C13,RAD51C,FIP1L1,FOXO3,KEL,ARID4A,STAT4,TOP1,CDC73,SGK1,SHOC2,RBM15,PIM1,ID3,CUL4A,HSPA1L,GATA1,GATA3,CHEK2,SP140,SRSF2,AFF1,CDK1,RPAIN,UBA52,TBL1XR1,PBX1,FAM131B,TOP2A,ZBTB20,TCEA1,TCL1A,PHLPP2,YAP1,HNRNPU,MTAP,DEK	9.16e-15	1.87e-11	Nucleoplasm
Component	GO:0031981	73	4526	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000273857,9606.ENSP00000275015,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000292782,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000306522,9606.ENSP00000306999,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336752,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347409,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000354522,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000358464,9606.ENSP00000358799,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364589,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000375899,9606.ENSP00000376276,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000410603,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000451506,9606.ENSP00000457991,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000494373,9606.ENSP00000498653	ELL2,EGR1,EGR2,H4C6,SBDS,JUND,MDM2,BARD1,KLF3,SPECC1,TCF3,DGCR8,BIRC3,ATF2,POLQ,PATZ1,CDK2,PML,NCOR1,CORIN,NFKBIE,AIP,ARID5B,JAZF1,DCUN1D1,WRN,FEN1,CAMTA1,ESCO2,RPTOR,RMI2,SUZ12,EZH2,STK11,H3C13,RAD51C,FIP1L1,EZR,FOXO3,RPL3,KEL,ARID4A,STAT4,TOP1,CDC73,SGK1,SHOC2,RBM15,PIM1,ID3,CUL4A,HSPA1L,GATA1,GATA3,CHEK2,SP140,SRSF2,AFF1,CDK1,RPAIN,UBA52,TBL1XR1,PBX1,FAM131B,TOP2A,ZBTB20,TCEA1,TCL1A,PHLPP2,YAP1,HNRNPU,MTAP,DEK	1.21e-14	1.87e-11	Nuclear lumen
Component	GO:0005634	94	7672	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000261503,9606.ENSP00000262662,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000273857,9606.ENSP00000275015,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000292782,9606.ENSP00000294129,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000306522,9606.ENSP00000306999,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000330349,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347409,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000355812,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000358464,9606.ENSP00000358799,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364589,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000372023,9606.ENSP00000375899,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000383295,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000410402,9606.ENSP00000410603,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000441927,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000457991,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000494373,9606.ENSP00000498653	ELL2,EGR1,EGR2,H4C6,SBDS,JUND,MDM2,BARD1,KLF3,SPECC1,CDKN2C,TCF3,DGCR8,BIRC3,ATF2,POLQ,PATZ1,CDK2,PML,NCOR1,ERBB2,CORIN,NFKBIE,AIP,ARID5B,JAZF1,BUB1B,DCUN1D1,NCKIPSD,WRN,HSPA4,FEN1,CAMTA1,ESCO2,RPTOR,RMI2,SUZ12,EZH2,EBF1,STK11,DDX41,OLIG2,PTCH1,H3C13,RAD51C,HIP1,FIP1L1,EZR,FOXO3,RPL3,KEL,ARID4A,STAT4,ZNF429,TOP1,FGFR1OP,ASPM,CDC73,SGK1,SHOC2,RBM15,PIM1,ID3,CUL4A,HSPA1L,GATA1,GATA3,DSP,CHEK2,SP140,TFRC,SRSF2,POU2AF1,AFF1,CDK1,NBEA,RPAIN,UBA52,TBL1XR1,PBX1,FAT1,MAP2K4,FAM131B,TOP2A,ZBTB20,TCEA1,SESN3,DDIT3,TCL1A,PHLPP2,YAP1,HNRNPU,MTAP,DEK	1.27e-12	8.67e-10	Nucleus
Component	GO:0070013	78	5660	9606	9606.ENSP00000233893,9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000273857,9606.ENSP00000275015,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000292782,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000306105,9606.ENSP00000306522,9606.ENSP00000306999,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336752,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347409,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000352798,9606.ENSP00000354522,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000358464,9606.ENSP00000358799,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364589,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000375899,9606.ENSP00000376276,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000398568,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000410603,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000451506,9606.ENSP00000457991,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000494373,9606.ENSP00000498653	HSPE1,ELL2,EGR1,EGR2,H4C6,SBDS,JUND,MDM2,BARD1,KLF3,SPECC1,TCF3,DGCR8,BIRC3,ATF2,POLQ,PATZ1,CDK2,CYP11A1,PML,NCOR1,CORIN,NFKBIE,AIP,ARID5B,JAZF1,DCUN1D1,WRN,FEN1,CEP89,CAMTA1,ESCO2,RPTOR,RMI2,SUZ12,EZH2,STK11,H3C13,RAD51C,FIP1L1,EZR,FOXO3,RPL3,KEL,ARID4A,STAT4,COL18A1,TOP1,CDC73,SGK1,SHOC2,RBM15,PIM1,ID3,CUL4A,HSPA1L,GATA1,GATA3,CHEK2,SP140,SRSF2,AFF1,CDK1,RPAIN,UBA52,PRF1,TBL1XR1,PBX1,FAM131B,TOP2A,ZBTB20,TCEA1,TCL1A,PHLPP2,YAP1,HNRNPU,MTAP,DEK	3.91e-12	2e-09	Intracellular organelle lumen
Component	GO:0032991	71	5506	9606	9606.ENSP00000221972,9606.ENSP00000237853,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261503,9606.ENSP00000262741,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000275364,9606.ENSP00000279146,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000291574,9606.ENSP00000292782,9606.ENSP00000295408,9606.ENSP00000305480,9606.ENSP00000305699,9606.ENSP00000306105,9606.ENSP00000307199,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336752,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000352798,9606.ENSP00000354522,9606.ENSP00000356405,9606.ENSP00000358464,9606.ENSP00000358799,9606.ENSP00000360944,9606.ENSP00000364589,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000376197,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000381097,9606.ENSP00000388107,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000411532,9606.ENSP00000428426,9606.ENSP00000441927,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000497102,9606.ENSP00000498653	CD79A,ELL2,H4C6,JUND,MDM2,BARD1,SPECC1,PIK3R3,TCF3,DGCR8,BIRC3,ATF2,CDK2,NCOR1,ERBB2,GNA12,AIP,JAZF1,BUB1B,TRAPPC10,DCUN1D1,MERTK,FEN1,HOOK3,CEP89,AHSP,RPTOR,RMI2,SUZ12,EZH2,STK11,CD28,DDX41,H3C13,RAD51C,FIP1L1,EZR,FOXO3,RPL3,ARID4A,STAT4,COL18A1,TOP1,CDC73,SHOC2,RBM15,STIL,CUL4A,HSPA1L,GATA1,TFRC,CD79B,POU2AF1,AFF1,CDK1,MYH11,EPHB1,UBA52,TNF,HLA-B,TBL1XR1,PBX1,TOP2A,TCEA1,SESN3,DDIT3,TCL1A,YAP1,HNRNPU,CTLA4,DEK	2.53e-09	7.38e-07	Protein-containing complex
Component	GO:0043232	67	5191	9606	9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000273857,9606.ENSP00000275015,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000294129,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000305699,9606.ENSP00000306105,9606.ENSP00000306522,9606.ENSP00000306999,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000331040,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000338934,9606.ENSP00000339477,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000354522,9606.ENSP00000355812,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000375899,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000411532,9606.ENSP00000428426,9606.ENSP00000431012,9606.ENSP00000432511,9606.ENSP00000448665,9606.ENSP00000457991,9606.ENSP00000491215,9606.ENSP00000498653	EGR1,EGR2,H4C6,SBDS,JUND,MDM2,BARD1,KLF3,SPECC1,TCF3,DGCR8,ATF2,POLQ,CDK2,PML,NCOR1,CORIN,NFKBIE,JAZF1,BUB1B,NCKIPSD,WRN,FEN1,HOOK3,CEP89,CAMTA1,ESCO2,RPTOR,RMI2,SUZ12,EZH2,EBF1,STK11,OLIG2,H3C13,RAD51C,HIP1,EZR,ICOSLG,FOXO3,RPL3,ARID4A,STAT4,TOP1,FGFR1OP,ASPM,CDC73,STIL,PIM1,GATA1,GATA3,DSP,SP140,CDK1,MYH11,RPAIN,UBA52,TBL1XR1,PBX1,TOP2A,TCEA1,ARHGEF10,JAK3,DDIT3,PHLPP2,HNRNPU,DEK	1.11e-08	2.84e-06	Intracellular non-membrane-bounded organelle
Component	GO:0005694	35	1850	9606	9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000287598,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000306999,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000331040,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000339527,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000354522,9606.ENSP00000356405,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000378699,9606.ENSP00000405890,9606.ENSP00000411532,9606.ENSP00000448665,9606.ENSP00000491215,9606.ENSP00000498653	EGR1,EGR2,H4C6,JUND,KLF3,TCF3,ATF2,POLQ,CDK2,PML,NCOR1,BUB1B,WRN,FEN1,ESCO2,RMI2,SUZ12,EZH2,EBF1,OLIG2,H3C13,RAD51C,FOXO3,ARID4A,STAT4,TOP1,CDC73,GATA1,GATA3,CDK1,PBX1,TOP2A,DDIT3,HNRNPU,DEK	3.22e-08	6.6e-06	Chromosome
